household_size,income,race,age,sex,zipcode,decision
1,28947,other,30,female,87761,NO
4,42149,asian,21,female,85898,NO
8,58553,other,60,female,60070,YES
5,17516,african american,42,male,32238,NO
4,44199,caucasian,2,male,59770,NO
1,56434,asian,11,male,30885,NO
10,68521,caucasian,53,male,65684,YES
5,74277,other,43,female,57037,NO
2,67052,african american,12,female,58837,NO
6,66784,other,49,female,22997,YES
10,47573,other,23,female,94982,YES
4,24785,african american,0,male,48326,NO
1,75422,other,24,female,14677,NO
5,66841,asian,50,male,79105,NO
3,45643,hispanic,8,male,41624,NO
6,10269,asian,43,male,60144,YES
4,87178,hispanic,34,male,36360,NO
5,32149,other,56,male,40991,NO
4,76355,african american,56,female,99922,NO
1,30107,other,17,female,11931,NO
3,97401,hispanic,49,female,56100,NO
2,31539,african american,34,male,73841,NO
7,19184,hispanic,53,male,60024,YES
9,13346,other,52,male,70808,YES
6,33414,caucasian,4,male,81924,YES
4,97491,african american,34,female,69443,NO
1,32062,hispanic,36,female,94089,NO
3,67428,african american,42,male,64711,NO
7,93516,asian,49,male,11179,YES
6,29464,african american,16,male,38434,YES
8,47561,caucasian,15,male,16140,YES
6,21760,african american,48,female,69371,YES
10,94806,caucasian,19,male,71491,YES
1,58134,asian,48,male,25208,NO
9,73771,african american,19,female,57994,YES
3,88461,caucasian,17,male,61575,NO
3,39360,caucasian,13,female,85536,NO
4,56042,other,47,male,74499,NO
2,83199,african american,27,male,71034,NO
3,64876,caucasian,32,female,77793,NO
1,44603,caucasian,21,female,47019,NO
10,55026,caucasian,32,female,23070,YES
3,51524,hispanic,3,female,89760,NO
2,34976,asian,23,female,95016,NO
5,69851,african american,40,male,14600,NO
9,99989,caucasian,52,male,59942,YES
1,10786,other,51,female,44070,NO
4,36124,hispanic,35,male,87929,NO
6,16014,african american,56,female,72519,YES
2,91372,african american,50,female,41962,NO
7,93990,other,12,female,48230,YES
3,23421,caucasian,15,male,23087,NO
8,88284,hispanic,18,female,72324,YES
2,69458,asian,38,male,56792,NO
7,87396,asian,53,female,66255,YES
6,99429,hispanic,9,male,45149,YES
7,72640,caucasian,30,female,16523,YES
4,19851,caucasian,38,female,35539,NO
2,27169,asian,7,male,29227,NO
4,94255,caucasian,27,male,71957,NO
1,73888,african american,59,male,52569,NO
4,59990,hispanic,55,male,78620,NO
5,54506,hispanic,26,female,69956,NO
1,16110,asian,32,female,30281,NO
1,25366,hispanic,40,female,25740,NO
3,75456,african american,26,male,58722,NO
7,64716,hispanic,16,female,65004,YES
6,29531,other,23,female,64002,YES
4,93322,hispanic,17,female,39488,NO
10,96464,asian,11,female,36639,YES
7,99585,other,28,female,67402,YES
3,56091,other,53,female,80607,NO
1,10916,other,40,male,86618,NO
4,16556,african american,44,female,14306,NO
8,77604,asian,26,male,83282,YES
4,81205,caucasian,14,female,57505,NO
3,87639,asian,23,female,32069,NO
9,25796,caucasian,52,male,73792,YES
3,42360,african american,52,female,18303,NO
5,64107,asian,4,female,22513,NO
9,13442,asian,19,male,82842,YES
5,72235,caucasian,60,female,25176,NO
9,34807,hispanic,42,male,10575,YES
4,27606,caucasian,22,female,24089,NO
7,76174,african american,43,female,48706,YES
2,98453,caucasian,31,male,93622,NO
7,13811,asian,5,male,74030,YES
2,39514,other,21,female,37677,NO
9,64050,african american,30,male,36714,YES
5,39421,african american,56,male,89827,NO
6,76008,caucasian,46,male,50982,YES
2,97568,caucasian,17,female,20043,NO
2,37925,other,42,female,85764,NO
8,81007,african american,52,male,44981,YES
9,53795,african american,34,female,42865,YES
1,93785,other,27,female,70159,NO
8,82762,caucasian,13,male,54038,YES
8,69416,caucasian,39,male,46763,YES
5,35620,hispanic,37,female,21369,NO
5,39543,african american,8,female,87714,NO
1,38496,african american,43,male,75280,NO
7,91068,other,1,female,78743,YES
7,14648,asian,29,female,47318,YES
6,25440,asian,19,female,70157,YES
2,76740,african american,15,female,61671,NO
9,9283,african american,36,female,72358,YES
8,99704,asian,19,male,14435,YES
10,10239,caucasian,54,male,50088,YES
2,16115,asian,40,male,43061,NO
8,18664,hispanic,9,male,78224,YES
1,61894,asian,49,female,64022,NO
5,54961,other,35,male,35408,NO
4,10993,hispanic,4,male,29997,NO
8,33856,asian,51,male,25292,YES
8,97143,caucasian,39,male,33707,YES
9,91165,asian,11,female,41166,YES
1,67800,caucasian,36,male,71161,NO
10,73415,asian,51,female,98706,YES
8,72031,african american,56,male,58591,YES
6,16759,asian,24,female,27268,YES
5,18357,other,39,male,17012,NO
10,83646,african american,50,female,34272,YES
9,36943,african american,15,female,67696,YES
3,53090,asian,46,male,19756,NO
8,19079,asian,13,female,26121,YES
7,72272,caucasian,18,male,39830,YES
2,80179,other,48,male,34123,NO
4,41184,asian,46,female,68917,NO
1,10325,other,54,male,83461,NO
3,76770,hispanic,59,male,73450,NO
1,69286,african american,28,male,19258,NO
9,98772,other,57,female,93002,YES
4,54197,caucasian,26,female,92417,NO
10,28812,caucasian,24,female,49427,YES
5,43017,asian,22,male,13941,NO
3,72813,african american,8,female,70005,NO
3,19541,asian,48,male,69356,NO
4,14524,hispanic,49,male,69040,NO
1,19610,african american,38,male,23576,NO
2,26687,hispanic,22,female,95125,NO
6,80432,hispanic,9,female,13958,YES
5,54018,hispanic,9,male,78335,NO
7,46831,other,18,female,19171,YES
8,38197,asian,9,female,80689,YES
7,49197,asian,22,female,33599,YES
4,44304,caucasian,57,female,78264,NO
5,95572,hispanic,49,male,31837,NO
7,34653,other,25,male,24044,YES
6,25694,caucasian,23,female,51914,YES
1,30305,caucasian,22,female,70389,NO
6,52021,caucasian,44,female,50397,YES
1,36360,hispanic,11,male,46985,NO
5,77381,caucasian,33,male,16108,NO
8,90169,asian,34,female,46607,YES
3,35865,other,16,male,92575,NO
3,95799,caucasian,49,female,27557,NO
1,50186,other,0,male,89527,NO
10,42660,hispanic,0,female,84498,YES
5,81810,caucasian,3,male,95254,NO
10,60884,hispanic,43,male,62947,YES
5,85169,caucasian,48,male,85573,NO
4,30773,asian,14,female,63181,NO
5,14059,other,16,male,98880,NO
1,98491,african american,29,female,32509,NO
1,50427,asian,34,male,99865,NO
3,51602,hispanic,56,male,33658,NO
7,23110,caucasian,57,female,76269,YES
1,28886,other,58,male,98176,NO
9,57992,african american,32,female,50234,YES
3,62858,hispanic,32,male,28345,NO
10,37265,african american,2,female,84835,YES
7,92223,other,23,male,16312,YES
1,28525,caucasian,27,male,54145,NO
9,51445,asian,28,male,30156,YES
5,96220,asian,10,female,74696,NO
4,51780,other,29,male,35522,NO
8,92014,african american,37,female,58211,YES
4,77099,asian,50,male,75975,NO
5,77020,african american,8,female,52659,NO
5,11845,african american,58,female,26639,NO
7,37124,caucasian,30,female,58157,YES
10,25704,african american,5,female,42596,YES
8,28966,hispanic,29,male,94110,YES
2,10724,other,34,female,40237,NO
3,41304,african american,44,male,19521,NO
3,26389,hispanic,55,male,94853,NO
2,79130,asian,53,male,37812,NO
1,46638,african american,60,male,96892,NO
1,31919,caucasian,8,female,83896,NO
4,22472,asian,39,male,87681,NO
6,52034,other,30,male,70768,YES
7,16336,hispanic,38,male,20346,YES
7,26899,other,24,male,83661,YES
2,46788,african american,46,male,14916,NO
10,43808,caucasian,3,female,65213,YES
3,52220,asian,20,female,49117,NO
8,43593,caucasian,8,female,32484,YES
4,84943,african american,33,male,43595,NO
10,71513,other,40,male,45785,YES
10,64691,african american,22,female,36731,YES
5,69217,hispanic,25,female,16538,NO
6,34701,caucasian,25,male,94806,YES
9,58055,hispanic,29,male,37701,YES
4,53712,asian,36,male,54821,NO
6,24502,other,44,female,83647,YES
2,55027,hispanic,53,male,73708,NO
3,20730,hispanic,17,male,48440,NO
7,13858,african american,18,male,63849,YES
8,40575,other,29,female,91292,YES
5,28000,african american,41,male,68728,NO
1,76401,caucasian,9,male,96821,NO
3,67621,caucasian,8,female,26369,NO
10,50506,other,4,male,90880,YES
2,10194,other,39,male,11216,NO
3,32929,hispanic,51,female,17885,NO
4,23483,asian,37,female,79517,NO
4,37627,african american,44,male,30302,NO
8,29143,african american,13,female,74600,YES
6,45584,asian,43,male,50138,YES
8,65093,caucasian,49,female,87911,YES
7,91189,caucasian,26,male,40508,YES
10,19208,caucasian,58,male,24474,YES
6,25338,caucasian,33,male,82176,YES
5,46064,asian,50,female,71372,NO
2,52100,hispanic,32,male,16359,NO
6,41246,hispanic,45,male,12451,YES
6,50879,other,54,male,35932,YES
2,17062,caucasian,44,female,98969,NO
7,74408,caucasian,38,male,91921,YES
4,44454,caucasian,55,female,34451,NO
2,14823,asian,60,male,44631,NO
7,88070,african american,43,male,97011,YES
10,80873,asian,31,male,99096,YES
1,80292,asian,7,female,57166,NO
9,37344,other,5,female,44130,YES
4,86602,hispanic,25,female,85644,NO
7,71368,caucasian,5,female,72359,YES
9,34582,hispanic,33,female,45322,YES
9,14582,caucasian,52,female,86616,YES
4,73221,asian,46,male,88915,NO
2,27954,asian,2,male,76629,NO
1,51392,hispanic,5,male,24076,NO
3,81540,other,22,female,87936,NO
7,40943,asian,28,male,56175,YES
2,94536,caucasian,4,male,81186,NO
7,43190,hispanic,6,male,72758,YES
3,98464,other,56,female,78275,NO
1,87479,other,53,female,47241,NO
5,52581,other,21,female,27691,NO
9,87180,other,8,male,46682,YES
4,91025,african american,57,male,84526,NO
3,11759,asian,21,female,91178,NO
3,49102,other,60,female,10575,NO
8,13543,other,2,male,49493,YES
1,95909,other,25,female,11430,NO
3,30050,african american,26,female,99271,NO
1,59756,other,45,male,52618,NO
6,24643,other,43,male,54767,YES
1,92665,hispanic,43,female,70045,NO
3,91834,african american,51,female,77617,NO
5,16114,other,59,male,72033,NO
2,32597,asian,9,female,23149,NO
9,47990,hispanic,40,female,70641,YES
9,29237,african american,28,male,51152,YES
10,91701,hispanic,33,female,44007,YES
7,44769,african american,18,female,58181,YES
2,85961,hispanic,31,male,13512,NO
2,74865,other,8,male,48817,NO
10,77543,hispanic,58,male,16710,YES
9,38257,hispanic,39,male,22312,YES
2,62648,african american,29,male,42536,NO
7,51168,hispanic,21,female,43699,YES
2,70021,african american,58,female,17909,NO
6,59153,other,3,male,44617,YES
6,29118,caucasian,1,female,19693,YES
6,12173,other,35,male,12942,YES
7,94223,other,34,male,63425,YES
5,60457,caucasian,20,female,11134,NO
8,58796,other,0,male,40281,YES
10,38488,other,5,female,66854,YES
8,74111,hispanic,2,male,66509,YES
5,41575,asian,17,female,69641,NO
10,88266,asian,36,male,83030,YES
2,9899,other,50,male,88124,NO
1,19269,african american,1,male,82843,NO
6,87291,african american,49,female,65989,YES
7,37736,african american,28,male,35198,YES
8,32358,other,57,female,33478,YES
7,37553,hispanic,48,female,54097,YES
1,34512,asian,58,female,15928,NO
9,89831,asian,29,male,82422,YES
6,75657,caucasian,16,male,77594,YES
6,76259,caucasian,60,male,94831,YES
5,20432,caucasian,42,male,14548,NO
9,54003,asian,39,male,96795,YES
7,13017,asian,58,male,36076,YES
7,93005,other,5,male,44588,YES
3,62984,caucasian,55,female,40563,NO
2,87937,hispanic,31,female,18643,NO
2,62189,asian,16,male,17815,NO
10,88687,other,11,female,32490,YES
7,64453,hispanic,39,male,30784,YES
8,30671,caucasian,47,female,61454,YES
10,54110,caucasian,53,male,26698,YES
7,88930,caucasian,24,male,65571,YES
4,37695,asian,58,female,55226,NO
5,20269,caucasian,1,female,43760,NO
10,64144,african american,34,male,70043,YES
10,92653,hispanic,33,male,51661,YES
3,83752,other,6,male,77299,NO
3,19900,other,31,male,62779,NO
1,47023,african american,41,female,44173,NO
2,50085,asian,51,male,82375,NO
10,24751,asian,18,female,83733,YES
1,46689,african american,20,male,31856,NO
9,54847,other,7,female,38382,YES
3,32819,asian,44,male,21230,NO
3,66043,african american,43,female,78969,NO
3,15288,hispanic,58,male,66467,NO
6,55214,other,41,female,42490,YES
5,88751,asian,45,male,63533,NO
2,9627,other,6,male,24513,NO
10,15417,african american,43,male,39225,YES
3,24862,other,55,female,13785,NO
1,87957,hispanic,58,female,13142,NO
10,26436,asian,12,male,29860,YES
10,32420,other,51,female,63771,YES
2,58243,african american,59,male,16531,NO
5,83330,asian,45,male,31076,NO
7,66771,african american,60,male,31676,YES
9,24716,hispanic,32,female,97469,YES
2,98409,hispanic,36,female,79073,NO
9,33369,other,52,female,19179,YES
5,83439,caucasian,39,female,99404,NO
7,96004,african american,56,male,70741,YES
7,52569,african american,20,female,99970,YES
5,21376,caucasian,9,male,78461,NO
1,22024,caucasian,58,male,82139,NO
2,15312,other,15,male,39050,NO
9,79046,asian,47,female,98886,YES
5,69445,african american,17,male,41406,NO
3,30417,caucasian,24,male,31645,NO
8,61294,hispanic,59,male,39136,YES
1,54993,other,24,female,43598,NO
6,71421,african american,51,male,55659,YES
10,71418,hispanic,25,female,45650,YES
9,14276,asian,60,male,86175,YES
8,51917,asian,55,female,37765,YES
8,50445,hispanic,35,female,28788,YES
1,69814,asian,17,male,69089,NO
5,65758,other,51,female,65468,NO
6,61624,hispanic,18,female,51726,YES
6,95956,caucasian,34,male,37538,YES
6,59548,african american,5,female,91630,YES
7,13627,other,58,female,50859,YES
3,13010,hispanic,33,female,47137,NO
4,90085,african american,30,female,63984,NO
6,58157,hispanic,27,female,70012,YES
5,63793,other,58,female,46876,NO
7,36110,other,31,female,50802,YES
2,61543,african american,40,male,58766,NO
4,66160,african american,50,male,39458,NO
2,34776,caucasian,37,male,18071,NO
10,62532,other,48,female,94330,YES
5,99380,hispanic,3,male,53374,NO
1,44051,other,18,female,71224,NO
9,63720,other,22,male,14293,YES
10,13029,asian,19,male,45803,YES
7,95372,hispanic,16,male,51324,YES
6,42363,other,45,male,28878,YES
9,48405,asian,50,male,71048,YES
4,52948,asian,50,male,22717,NO
6,26987,other,7,female,67462,YES
8,10437,hispanic,10,female,10944,YES
3,98500,hispanic,1,male,50380,NO
2,31367,hispanic,50,male,53503,NO
2,27719,caucasian,26,male,50279,NO
5,94421,african american,57,female,58349,NO
2,66565,asian,51,female,59174,NO
10,93673,hispanic,27,male,67692,YES
3,85562,caucasian,12,female,38283,NO
6,36216,african american,28,female,77186,YES
9,85229,asian,33,male,70664,YES
6,15911,caucasian,40,male,14430,YES
9,93021,african american,35,male,15753,YES
6,74678,asian,33,male,59890,YES
3,56127,caucasian,28,male,80298,NO
5,41490,caucasian,53,male,33907,NO
3,76022,asian,9,female,26264,NO
9,69854,other,33,female,26772,YES
3,69018,african american,46,female,34228,NO
5,47622,african american,9,male,60704,NO
5,44338,caucasian,24,male,16533,NO
1,71141,african american,41,male,81625,NO
7,87628,asian,35,male,38131,YES
2,48633,caucasian,49,female,65749,NO
6,91247,hispanic,40,male,70616,YES
5,52361,caucasian,53,male,74935,NO
4,37586,asian,31,female,71087,NO
3,84033,hispanic,52,male,13959,NO
3,87738,caucasian,38,female,77702,NO
10,25452,other,9,female,73811,YES
1,89091,asian,38,female,37427,NO
2,27449,other,56,male,62837,NO
6,76888,african american,38,female,35652,YES
10,77897,african american,0,male,57259,YES
4,24418,caucasian,21,male,56473,NO
1,47640,caucasian,11,female,91002,NO
4,17234,other,23,male,46107,NO
10,66689,other,16,female,28001,YES
8,11673,asian,48,male,92546,YES
8,38469,other,59,female,81075,YES
10,22645,caucasian,34,female,37219,YES
5,94517,hispanic,0,male,87372,NO
4,44678,hispanic,49,male,66616,NO
10,59689,hispanic,44,male,10154,YES
6,47836,african american,38,male,84565,YES
4,69411,asian,18,male,43177,NO
5,93634,asian,58,male,44999,NO
7,68885,african american,58,male,57097,YES
3,46924,asian,39,male,89635,NO
5,63723,hispanic,35,female,39302,NO
9,83815,hispanic,45,female,56053,YES
7,67988,asian,8,female,95631,YES
10,58076,caucasian,30,male,24567,YES
8,75787,hispanic,42,male,89033,YES
5,67364,caucasian,20,male,99274,NO
9,55534,other,11,male,63818,YES
4,10634,hispanic,17,male,69159,NO
3,86460,caucasian,48,male,69462,NO
8,30802,hispanic,17,male,78704,YES
3,83805,hispanic,12,male,31833,NO
5,32499,other,31,male,77935,NO
3,91198,asian,13,female,60101,NO
2,51090,caucasian,60,male,19261,NO
3,14615,other,2,female,16624,NO
9,23533,hispanic,17,male,60167,YES
7,43854,hispanic,12,male,63162,YES
6,13257,asian,55,male,48451,YES
6,94752,african american,40,female,83202,YES
1,55058,african american,43,female,26345,NO
1,37523,hispanic,19,female,94542,NO
4,86891,other,7,male,47716,NO
4,67794,asian,59,female,62332,NO
7,93811,hispanic,27,male,42880,YES
4,39628,other,10,female,58724,NO
5,36067,african american,9,female,94340,NO
5,61482,asian,36,male,62606,NO
1,71770,asian,5,female,16787,NO
6,24895,caucasian,33,female,58771,YES
4,42995,other,10,female,22204,NO
2,75356,african american,57,female,17356,NO
4,75633,asian,39,female,35687,NO
2,15914,caucasian,55,male,78442,NO
1,87935,hispanic,16,male,99825,NO
9,83977,caucasian,20,male,74543,YES
1,47107,other,3,female,36512,NO
1,21879,other,59,male,25139,NO
4,13368,other,33,male,22588,NO
9,41849,caucasian,59,female,14366,YES
8,92384,other,22,female,61661,YES
8,46402,asian,9,male,11331,YES
6,31981,african american,1,female,92904,YES
1,62871,caucasian,31,female,56756,NO
1,20039,caucasian,0,female,91705,NO
3,44781,caucasian,7,female,43129,NO
5,15770,african american,7,female,29833,NO
10,25470,asian,60,female,69435,YES
10,33872,hispanic,33,female,90449,YES
8,25873,other,59,male,40878,YES
6,49432,asian,31,female,67642,YES
3,75426,asian,58,female,40152,NO
3,74492,hispanic,32,male,69727,NO
3,97411,asian,14,female,93236,NO
9,43308,hispanic,44,female,86851,YES
9,81762,african american,21,male,36952,YES
1,82793,caucasian,9,female,89097,NO
5,99782,asian,1,male,94645,NO
7,75550,african american,39,male,30389,YES
5,35331,other,21,male,26426,NO
7,20385,asian,22,male,13304,YES
2,38599,other,39,female,33084,NO
8,59099,caucasian,59,male,60163,YES
10,74154,caucasian,6,female,72532,YES
10,14162,hispanic,48,female,59116,YES
3,29638,african american,20,female,27012,NO
4,12566,caucasian,47,male,89488,NO
10,46221,african american,20,female,39883,YES
2,91598,other,15,male,15486,NO
8,81120,african american,31,female,76736,YES
8,57827,african american,32,female,20140,YES
9,75481,african american,42,male,87758,YES
4,84632,african american,41,female,32147,NO
10,71145,african american,19,female,88153,YES
5,67078,asian,31,male,46859,NO
10,50063,other,7,male,36638,YES
7,28780,other,24,female,47916,YES
8,39125,asian,15,male,40272,YES
8,71498,african american,50,female,26843,YES
7,44258,african american,17,male,79210,YES
1,24154,caucasian,59,female,98892,NO
8,86966,caucasian,47,male,99220,YES
6,40520,african american,34,female,33247,YES
6,79915,asian,37,male,19443,YES
5,70677,african american,18,female,24467,NO
9,46483,african american,54,male,52835,YES
2,74264,african american,52,female,14728,NO
5,20018,asian,6,male,47645,NO
4,96584,caucasian,21,male,50133,NO
6,36525,african american,0,female,85059,YES
9,76098,hispanic,33,male,86943,YES
1,59345,asian,48,female,94475,NO
5,12213,african american,42,male,33206,NO
2,29555,hispanic,14,male,84435,NO
2,65398,caucasian,25,male,69746,NO
3,19445,other,35,male,87306,NO
2,41381,asian,49,male,96107,NO
9,39858,hispanic,40,male,15599,YES
6,42917,asian,2,female,93625,YES
6,56161,caucasian,57,female,21115,YES
3,18351,african american,14,female,45683,NO
1,14815,caucasian,23,female,65537,NO
4,53855,african american,38,male,19874,NO
4,88274,hispanic,18,female,79424,NO
1,9798,other,43,female,27249,NO
7,36231,african american,57,female,46746,YES
9,56255,caucasian,19,female,94154,YES
3,81451,caucasian,57,male,60459,NO
7,36580,asian,15,male,42310,YES
3,34349,hispanic,1,female,90514,NO
4,21102,caucasian,44,male,17222,NO
6,15374,caucasian,10,female,63987,YES
9,25342,african american,54,female,97232,YES
4,38678,african american,52,male,10991,NO
8,83351,asian,18,female,21580,YES
8,27447,african american,39,male,59363,YES
6,82928,asian,12,male,83860,YES
8,64690,other,37,male,57532,YES
7,36461,caucasian,34,female,48849,YES
10,85270,asian,44,male,70889,YES
10,42624,african american,30,male,64464,YES
7,69313,caucasian,19,male,80660,YES
6,90477,other,38,female,96109,YES
9,67031,caucasian,18,female,93738,YES
2,50091,hispanic,7,male,69744,NO
6,72436,hispanic,5,male,93208,YES
1,47579,african american,15,male,26949,NO
4,32390,other,51,female,67803,NO
2,95626,caucasian,51,male,80839,NO
6,55223,other,5,male,34551,YES
4,52511,other,17,female,21723,NO
2,79362,caucasian,20,male,77581,NO
9,93553,other,58,male,40943,YES
10,73751,hispanic,3,female,74060,YES
5,15637,caucasian,29,female,49919,NO
4,44753,caucasian,21,female,57817,NO
5,72577,african american,24,female,17824,NO
1,13550,caucasian,38,male,64206,NO
6,24707,other,48,male,41446,YES
2,84217,african american,19,female,89059,NO
10,59278,hispanic,6,male,41646,YES
1,69051,other,25,male,56123,NO
4,77617,caucasian,42,female,85791,NO
1,42723,other,14,male,23438,NO
10,31540,asian,1,female,92033,YES
3,78097,asian,42,male,17510,NO
4,13443,caucasian,51,female,94764,NO
7,98898,hispanic,44,male,19649,YES
8,69675,caucasian,55,female,55030,YES
1,14265,asian,42,female,77408,NO
2,82429,hispanic,23,male,90840,NO
8,78613,hispanic,44,male,94706,YES
3,81903,hispanic,13,male,12873,NO
3,12097,asian,4,female,51297,NO
10,67357,caucasian,58,female,68144,YES
5,52360,other,54,female,45108,NO
5,75882,african american,46,female,24804,NO
3,32458,asian,51,male,84411,NO
9,41000,other,40,female,65047,YES
7,77963,other,23,male,26526,YES
10,68551,hispanic,5,female,42374,YES
4,61531,hispanic,14,female,20138,NO
1,28462,other,36,female,43076,NO
3,35110,other,31,male,64854,NO
4,30111,hispanic,18,male,62918,NO
3,10883,african american,23,female,50275,NO
3,53715,other,53,female,70959,NO
3,94495,other,47,female,25755,NO
6,12351,other,4,male,42605,YES
3,75164,hispanic,60,male,61178,NO
9,42913,hispanic,55,male,93740,YES
10,53825,hispanic,1,female,34216,YES
2,61693,hispanic,36,male,40234,NO
1,71828,hispanic,13,female,61571,NO
7,91791,other,1,female,15377,YES
3,16011,caucasian,54,male,87472,NO
4,51858,hispanic,60,female,57599,NO
2,52314,other,14,female,97562,NO
6,36712,other,8,male,29820,YES
4,46537,hispanic,10,female,25599,NO
6,11388,african american,27,female,66115,YES
2,30675,caucasian,58,female,52231,NO
8,54453,other,29,male,97986,YES
3,42113,hispanic,44,female,97819,NO
3,74379,african american,3,female,72717,NO
7,29436,hispanic,20,female,27506,YES
2,50723,caucasian,52,female,31951,NO
8,97818,hispanic,30,male,64621,YES
8,23900,other,20,female,88662,YES
10,97138,other,7,female,42428,YES
9,28983,caucasian,36,male,66903,YES
5,94035,caucasian,12,female,18505,NO
9,46706,hispanic,21,male,65862,YES
3,98700,caucasian,44,male,48980,NO
3,16995,caucasian,13,female,33011,NO
9,22914,caucasian,8,male,34986,YES
1,13904,caucasian,41,female,75799,NO
10,63776,other,23,male,43662,YES
7,28059,other,59,female,47713,YES
3,18917,other,40,female,42035,NO
6,95805,african american,43,male,61744,YES
7,13788,asian,59,female,81191,YES
10,56521,hispanic,16,female,51321,YES
5,61833,asian,17,female,16288,NO
7,94486,african american,14,male,19752,YES
8,94545,caucasian,38,male,82246,YES
8,97732,caucasian,49,male,94365,YES
2,91663,caucasian,55,female,64383,NO
2,16749,asian,59,male,46305,NO
2,51878,caucasian,48,female,22561,NO
7,50794,hispanic,36,female,16330,YES
1,57756,other,48,female,90271,NO
1,16071,african american,50,male,92424,NO
5,36963,hispanic,51,female,66790,NO
10,46689,hispanic,22,female,94002,YES
1,16894,african american,36,female,37896,NO
3,97532,other,60,female,25578,NO
7,33988,asian,2,female,73069,YES
10,51206,hispanic,32,male,22451,YES
9,24631,hispanic,42,male,15925,YES
2,96945,asian,27,female,54349,NO
4,16298,caucasian,22,male,80357,NO
6,76415,other,6,female,35876,YES
6,46573,other,10,female,36913,YES
1,80988,asian,30,male,65980,NO
4,45825,other,23,male,92423,NO
6,24368,african american,39,female,36160,YES
1,19170,asian,23,male,75157,NO
5,15267,caucasian,55,male,52881,NO
8,42320,hispanic,16,male,63942,YES
9,49944,hispanic,40,male,36575,YES
5,41411,hispanic,31,male,47262,NO
6,82559,hispanic,29,male,88418,YES
10,53145,caucasian,36,male,70602,YES
2,59336,african american,59,female,70837,NO
5,68783,other,39,male,27227,NO
3,65245,other,53,male,90162,NO
4,28644,asian,0,male,25010,NO
3,82565,other,22,male,72556,NO
7,52146,hispanic,16,male,28271,YES
6,80554,other,15,female,50626,YES
2,31391,other,53,female,80230,NO
1,39676,other,7,male,74908,NO
4,71420,african american,45,female,64151,NO
1,75280,african american,24,male,21686,NO
4,17236,asian,16,male,20182,NO
9,50145,african american,8,male,92860,YES
8,99402,hispanic,53,female,99513,YES
9,92477,asian,16,female,46618,YES
4,61600,caucasian,6,male,36262,NO
7,98884,asian,8,female,12312,YES
4,21370,asian,25,male,62715,NO
2,40077,african american,33,male,68642,NO
1,66998,caucasian,30,female,31591,NO
8,52616,african american,50,female,68529,YES
8,90317,hispanic,55,male,88320,YES
1,43893,other,25,female,96501,NO
10,11770,hispanic,17,male,41333,YES
9,50300,african american,31,male,93930,YES
6,73166,caucasian,47,male,81954,YES
8,56314,asian,11,male,11818,YES
8,50521,hispanic,53,male,17736,YES
8,74810,asian,27,male,95768,YES
1,23223,other,25,female,66776,NO
10,96253,other,32,male,76302,YES
4,13100,african american,47,male,12255,NO
6,86446,hispanic,44,female,26476,YES
3,47078,hispanic,43,male,81982,NO
7,57720,other,51,female,94152,YES
3,55080,asian,24,female,16629,NO
4,28361,caucasian,30,female,88366,NO
1,87904,asian,43,female,15542,NO
1,42877,african american,59,female,80768,NO
8,29805,caucasian,27,female,48986,YES
7,31849,african american,0,female,61097,YES
8,61700,other,23,female,88394,YES
7,73786,african american,20,male,18672,YES
10,35252,caucasian,52,male,80525,YES
1,95606,hispanic,1,female,73254,NO
5,86894,african american,42,male,37533,NO
1,76558,caucasian,44,male,98933,NO
1,75670,asian,3,male,33522,NO
2,74141,caucasian,32,female,13970,NO
4,47885,african american,38,male,76252,NO
7,80936,caucasian,16,male,57836,YES
8,35391,hispanic,44,female,24872,YES
3,27819,asian,7,male,86631,NO
6,29561,caucasian,13,male,64898,YES
5,38481,other,28,male,56668,NO
1,87837,caucasian,34,male,90549,NO
9,11627,caucasian,29,male,43994,YES
6,72129,hispanic,24,female,68827,YES
3,17352,hispanic,30,male,99041,NO
6,30880,asian,45,male,11614,YES
3,59600,hispanic,48,female,63458,NO
10,55609,other,10,male,91873,YES
4,36297,african american,11,male,90992,NO
6,69228,african american,1,female,84852,YES
3,75631,hispanic,4,male,34615,NO
5,59584,asian,2,female,75791,NO
7,84961,caucasian,46,male,40382,YES
6,78641,african american,37,male,94911,YES
9,19744,other,42,female,16896,YES
6,91760,caucasian,52,male,27079,YES
3,66220,other,46,male,62194,NO
9,87412,caucasian,5,male,77853,YES
7,65351,caucasian,15,male,29245,YES
8,46327,caucasian,19,male,42906,YES
8,16184,african american,55,male,77230,YES
3,59195,asian,5,male,21941,NO
7,23311,african american,58,male,66539,YES
2,95524,asian,29,female,79993,NO
2,24071,other,35,female,44644,NO
6,39963,asian,45,male,97405,YES
6,41903,african american,52,female,75806,YES
8,40991,hispanic,52,female,35909,YES
4,17822,other,43,female,68581,NO
3,65182,asian,9,male,67596,NO
7,29440,hispanic,34,female,40553,YES
7,47043,asian,18,female,98906,YES
6,65274,asian,58,female,63908,YES
2,92296,hispanic,47,male,97227,NO
10,83536,caucasian,22,female,71647,YES
9,59132,other,2,female,51631,YES
4,10394,hispanic,33,male,47414,NO
6,61629,asian,47,female,96609,YES
1,17836,other,31,male,90691,NO
9,17694,other,14,female,46993,YES
3,21529,african american,7,female,80519,NO
4,72983,asian,56,female,25913,NO
8,40317,caucasian,59,male,41847,YES
